stringsfile version 1
3752
str_no_string NO_STRING!
str_npc17_payment Likewise._Before_we_go,_I_require_{reg3}_mon_to_provision_myself_for_campaigning.
str_npc18_payment {!}.
str_npc19_payment {!}.
str_npc20_payment Great,_great._I_need_{reg3}_mon_first_though,_as_a_kind_of_insurance_in_case_we_don't_get_any_pillaging_done_anytime_soon.
str_npc21_payment Before_we_go,_I_need_{reg3}_mon_to_equip_myself_and_such.
str_npc22_payment {!}.
str_npc1_payment_response Very_well,_here's_{reg3}_mon._Make_yourself_ready._We_leave_soon.
str_npc2_payment_response {!}.
str_npc3_payment_response {!}.
str_npc4_payment_response Certainly._Here's_{reg3}_mon.
str_npc5_payment_response Well..._here's_{reg3}_mon,_then._Your_first_payment.
str_npc6_payment_response {!}.
str_npc7_payment_response No,_of_course_not._Here's_{reg3}_mon.
str_npc8_payment_response Very_well,_here's_{reg3}_mon_for_your_mission.
str_npc9_payment_response Very_well,_here's_{reg3}_mon.
str_npc10_payment_response Of_course._Here,_{reg3}_mon.
str_npc11_payment_response Very_well,_here's_{reg3}_mon._Now,_fall_in_with_the_rest.
str_npc12_payment_response {!}.
str_npc13_payment_response Of_course,_here's_{reg3}_mon._Make_ready_to_leave_soon.
str_npc14_payment_response All_right,_here's_{reg3}_mon._You_are_most_welcome_in_our_company.
str_npc15_payment_response All_right,_here's_{reg3}_mon._Glad_to_have_you_with_us.
str_npc16_payment_response All_right,_here's_{reg3}_mon_for_you._Make_yourself_ready.
str_npc17_payment_response Here's_{reg3}_mon._Get_ready._We_leave_soon.
str_npc18_payment_response {!}.
str_npc19_payment_response {!}.
str_npc20_payment_response Very_well,_here's_{reg3}_mon._Make_yourself_ready._We_leave_soon.
str_npc21_payment_response Very_well,_here's_{reg3}_mon._Make_yourself_ready._We_leave_soon.
str_npc22_payment_response {!}.
str_npc1_morality_speech Oy_--_boss._Please_don't_take_this_the_wrong_way,_but_it's_a_hard_life_and_it's_a_bit_much_that_we_{s21}._Take_a_little_more_care_in_the_future,_captain,_if_you_don't_mind_my_saying.
str_npc2_morality_speech I_hope_you_don't_mind_my_saying_so,_but_it's_a_bit_hard_for_me_to_see_us_{s21}._Maybe_I_ought_to_try_to_be_more_of_a_hardened_soldier,_but_if_we_could_try_to_exercise_a_little_mercy_from_time_to_time,_I'd_sleep_better.
str_npc3_morality_speech Perhaps_it_is_not_my_place_to_say_so,_{sir/madam},_but_I_confess_that_I_am_somewhat_shocked_that_we_{s21}._Of_course_I_realize_that_war_is_cruel,_but_there_is_no_need_to_make_it_more_cruel_than_necessary.
str_npc4_morality_speech Your_pardon_--_just_so_you_know,_the_men_of_the_Muso_clan_do_not_care_to_{s21}._I_will_not_be_pleased_if_you_continue_to_take_this_course.
str_npc5_morality_speech Pardon_me,_captain._It_is_not_good_to_{s21}._Your_first_duty_is_to_the_men_who_have_pledged_themselves_to_you._The_least_they_can_expect_is_food,_pay,_and_that_you_not_waste_their_lives_needlessly.
str_npc6_morality_speech Excuse_me,_{sir/madame}._As_you_know,_I_joined_with_you_to_right_wrongs_and_protect_the_innocent._I_did_not_expect_to_{s21}.
str_npc7_morality_speech Captain_--_I_do_not_like_to_see_us_{s21}._Such_are_the_actions_of_a_common_bandit_chief,_with_no_regard_for_his_followers.
str_npc8_morality_speech I_was_not_pleased_that_you_decided_to_{s21}._It_is_a_disgrace.
str_npc9_morality_speech {Sir/Madam}_--_it_is_not_my_way_to_{s21}._I_will_accept_death_but_not_dishonor._Please_do_not_make_me_ashamed_to_serve_under_you.
str_npc10_morality_speech Begging_your_pardon,_captain._I_can't_say_that_I'm_happy_to_see_us_{s21}._Those_are_just_simple_people,_trying_to_make_a_living._If_we_could_try_to_go_easy_on_the_poor_wretches,_captain,_I'd_feel_much_better.
str_npc11_morality_speech Excuse_me,_captain._It's_not_good_that_we_{s21}._I've_followed_armies_for_30_years,_and_the_least_the_soldiers_expect_of_a_leader_is_to_feed_them,_pay_them,_and_do_{his/her}_best_to_keep_their_sorry_skins_intact_as_best_{he/she}_can.
str_npc12_morality_speech {Brother/Sister}_--_I_do_not_like_to_see_us_{s21}._I_am_prepared_to_be_a_warrior,_but_not_a_brigand._Pray_let_us_try_to_show_a_little_more_compassion.
str_npc13_morality_speech {playername}-dono,_if_we_can_avoid_it,_I'd_prefer_not_to_{s21}._Japan_is_a_small_place,_and_one's_reputation_is_precious._I_would_not_care_for_one_of_my_rivals_to_include_this_latest_unfortunate_incident_in_a_satirical_verse.
str_npc14_morality_speech I_do_not_care_to_{s21}._No_one_with_a_reputation_for_cowardice_will_be_properly_feared_by_his_men.
str_npc15_morality_speech {Sir/Madam}_--_just_so_you_know_my_opinion,_any_commander_with_honor_will_not_let_his_company_{s21}._I_hope_you_don't_mind_me_speaking_so_bluntly.
str_npc16_morality_speech Captain._I_don't_like_to_{s21}._So_many_throats_left_uncut...
str_npc17_morality_speech I_really_do_not_approve_of_you_{s21}.
str_npc18_morality_speech Captain_--_I_do_not_like_to_see_us_{s21}._I_am_prepared_to_be_a_warrior,_but_not_a_bandit.
str_npc19_morality_speech Damn,_{son/girl}_--_It_was_a_good_thing_you_{s21}.
str_npc20_morality_speech Skipper,_I_don't_care_that_you_{s21}._You_should_do_whatever_you_need_to_do_to_survive.
str_npc21_morality_speech {Sir/Madam},_I_approve_that_you_{s21}._Live_to_eat_another_day,_I_say.
str_npc22_morality_speech Captain._I_don't_like_to_{s21}._I_like_to_get_the_job_done.
str_npc1_2ary_morality_speech Boss_--_just_so_you_know,_I've_got_no_problem_if_we_{s21}._Living_to_fight_another_day_makes_good_sense_to_me.
str_npc2_2ary_morality_speech {Sir/Madame}_--_I'm_not_altogether_happy_that_we_{s21}._I'm_a_bushi,_and_in_our_life_one_is_bonded_by_one's_word._I_don't_want_a_reputation_for_dishonesty_--_I_would_rather_kill_myself,_{sir/madam}.
str_npc3_2ary_morality_speech {Sir/Madame}_--_I_think_it_was_a_brave_decision_you_took_to_{s21}._There_is_no_shame_in_finding_a_way_to_avoid_the_spilling_of_blood.
str_npc4_2ary_morality_speech Your_pardon_--_whatever_anyone_else_says,_I_think_nothing_of_it_that_you_{s21}._You_should_adopt_whatever_ruse_you_need_to_survive_in_these_troubled_times.
str_npc5_2ary_morality_speech {!}[No_secondary_moral_code]
str_npc6_2ary_morality_speech {Sir/Madam}_--_you_may_choose_to_{s21},_but_would_prefer_to_have_no_part_in_it.
str_npc7_2ary_morality_speech {!}[No_secondary_moral_code]
str_npc8_2ary_morality_speech {!}[No_secondary_moral_code]
str_npc9_2ary_morality_speech Captain,_I_am_dismayed_that_you_{s21}._A_{man/woman}_such_as_yourself_should_exhibit_the_highest_standards_of_honor_at_all_times.
str_npc10_2ary_morality_speech {Brother/Sister}_--_I_can't_say_I_like_to_see_us_{s21}._You_should_treat_your_men_well,_and_they'll_repay_with_interest.
str_npc11_2ary_morality_speech {!}[No_secondary_moral_code]
str_npc12_2ary_morality_speech {!}[No_secondary_moral_code]
str_npc13_2ary_morality_speech {!}[No_secondary_moral_code]
str_npc14_2ary_morality_speech Captain_--_you_should_not_let_it_bother_you_that_you_{s21}._Armies_are_made_to_do_their_leaders'_bidding,_and_hardships_are_part_of_a_soldier's_life.
str_npc15_2ary_morality_speech You_know,_friend_{playername},_it's_none_too_reassuring_to_see_how_you_just_{s21}._If_you_can_break_your_word_to_them,_you_can_break_your_word_to_me,_is_how_I_figure_it.
str_npc16_2ary_morality_speech Captain_--_just_so_you_know,_it's_no_problem_by_me_that_we_{s21}._We_do_what_we_need_to_do_to_live,_and_they'd_do_the_same_to_us_if_they_were_in_our_shoes.
str_npc17_2ary_morality_speech I've_no_problem_if_we_{s21}._Live_to_fight_another_day.
str_npc18_2ary_morality_speech {!}[No_secondary_moral_code]
str_npc19_2ary_morality_speech Holy_cripes,_did_we_just_{s21}?_O_Lord,_I_knew_this_was_gonna_happen._Jesus_Christ.
str_npc20_2ary_morality_speech Skipper,_no_commander_should_let_his_company_{s21}._I_hope_you_don't_mind_me_saying_so.
str_npc21_2ary_morality_speech {!}[No_secondary_moral_code]
str_npc22_2ary_morality_speech {!}[No_secondary_moral_code]
str_npc1_personalityclash_speech Captain_--_no_offense,_but_I'm_a_bit_tired_of_{s11},_who_puts_on_airs_like_he's_someone_better_than_your_humble_servant_Kojiro.
str_npc2_personalityclash_speech {Sir/Madame}_--_as_you_recall_I_was_a_retainer_before_I_signed_on_with_you,_a_servant_to_a_higher_lord.
str_npc3_personalityclash_speech Captain_--_in_my_opinion,_{s11}_is_a_hard_and_cruel_man._He_speaks_of_nothing_but_the_need_to_flog,_beat,_and_behead_his_fellow_soldiers.
str_npc4_personalityclash_speech {Sir/Madame}._The_Muso_clan_is_one_of_the_most_ancient_and_respected_families_in_this_part_of_Japan,_with_a_provenance_dating_back_to_the_Heian_period._Yet_{s11}_openly_shows_me_disrespect,_and_casts_doubt_on_the_ancient_school_of_Shinto_Muso-ryu.
str_npc5_personalityclash_speech A_moment_of_your_time,_captain._{s11}_seems_to_think_me_a_common_bandit,_just_because_I_am_not_a_part_of_some_hereditary_warrior_class.
str_npc6_personalityclash_speech Your_pardon,_{sir/madam},_but_I_cannot_keep_my_tongue_stilled_any_longer._That_harlot,_{s11}_--_every_time_she_sees_me_she_points_the_five_fingers_of_her_hand_at_me_--_a_peasant's_sign_to_ward_off_evil.
str_npc7_personalityclash_speech Captain,_I_have_done_my_best_to_put_up_with_your_followers'_rude_talk_and_lazy_habits._But_that_one_who_calls_himself_{s11}_is_beyond_tolerance.
str_npc8_personalityclash_speech Just_so_you_know,_I_cannot_abide_that_insolent_heathen_{s11}._Some_minutes_ago,_I_was_remarking_to_our_companions_how_the_spirits_and_so-called_buddhas_they_worshipped_were_actually_demons_from_hell,_and_that_your_Shinto_tradition_is_nothing_but_primitive_superstition.
str_npc9_personalityclash_speech Sir_--_{s11}_is_a_cruel_and_vicious_woman_--_I_know_her_through_my_hated_step-mother._She_is_a_cousin_of_the_one_who_covets_my_position._I_have_held_my_tongue,_but_she_has_been_taunting_me_ever_since_we_both_began_to_serve_under_you.
str_npc10_personalityclash_speech Excuse_me,_captain._I_hate_to_trouble_you_with_such_things,_but_I_just_wanted_to_let_you_know_that_I_can't_abide_that_fellow_Gonnosuke,_the_one_who_calls_himself_a_shisho.
str_npc11_personalityclash_speech Begging_your_pardon,_captain,_but_I_can't_keep_silent._That_woman,_{s11}_--_she_is_annoying!
str_npc12_personalityclash_speech {Brother/Sister}._The_barbarian,_{s11},_complained_of_headaches._I_thought_to_apply_chinese_medicine.
str_npc13_personalityclash_speech {playername}-dono,_I_weary_of_{s11},_who_talks_of_nothing_but_grace_and_nobility.
str_npc14_personalityclash_speech Excuse_me,_captain._A_few_minutes_ago,_I_had_expressed_the_opinion_that_liberal_use_of_the_lash_and_occasional_beheading_is_essential_to_keep_soldiers_in_line._Men_without_a_healthy_fear_of_their_commanders_are_more_likely_to_run_from_battle.
str_npc15_personalityclash_speech Excuse_me._I_hope_you_don't_mind_me_telling_you_that_in_my_opinion,_that_{s11}_is_a_danger_to_the_party._He's_a_feral_rat,_disrespectful_of_authority_and_the_basic_principles_of_the_code_of_Bushido.
str_npc16_personalityclash_speech Oy,_captain._Just_so_you_know_--_there's_something_funny_about_{s11}.
str_npc17_personalityclash_speech I_cannot_handle_{s11}!_Not_even_being_born_in_a_yurt_excuses_her_lack_of_grace!_She_refuses_to_serve_me_tea_after_a_day's_march_or_to_do_my_laundry_even_if_I_ask_her_politely.
str_npc18_personalityclash_speech Captain!_{s11}_is_incorrigible!_He_keeps_asking_me_to_do_chores,_talks_over_me,_never_acknowledges_my_opinions._It's_as_though_I'm_not_a_real_person_to_him!
str_npc19_personalityclash_speech {playername},_what_the_heck_is_{s11}'s_problem?_There_I_was,_quoting_lines_from_my_old_friend_Arnold_while_swinging_my_sword_and_decapitating_enemies_left_and_right_--_then_BAM,_she_grabs_me_by_the_shoulder_and_screeches_at_me_to_be_'respectful'.
str_npc20_personalityclash_speech Skipper,_if_you_don't_take_care_of_{s11}_soon,_he_will_have_a_sword_stuck_through_his_ribcage._When_I_walked_by_him_just_now,_he_muttered_Korean_insults_under_his_breath--I_SPEAK_KOREAN.
str_npc21_personalityclash_speech Captain!_Did_you_know_{s11}_was_a_pirate?
str_npc22_personalityclash_speech {Chief/Chieftess},_{s11}_is_unbearable._He_always_clutches_his_loot_tighter_whenever_I_near_him,_and_tends_to_cross_himself_in_my_presence.
str_npc1_personalityclash_speech_b He's_a_common_bandit,_just_like_myself,_and_he_has_no_right_to_tell_me_to_keep_my_distance_from_him,_as_he_did_just_now.
str_npc2_personalityclash_speech_b Despite_that,_I_don't_appreciate_how_{s11}_is_overly_familiar_with_me._I_am_still_of_buke_status_myself,_not_some_washerwoman.
str_npc3_personalityclash_speech_b I_know_that_an_army_is_not_a_nursery,_and_that_strong_discipline_is_important,_but_I_do_believe_that_man_enjoys_cruelty_for_cruelty's_sake._I_hope_you_do_not_mind_me_saying_so.
str_npc4_personalityclash_speech_b {Sir/Madame},_these_are_indeed_sorry_days_if_common_folk_are_allowed_to_mock_their_betters._That_is_all.
str_npc5_personalityclash_speech_b I_told_her_that_if_that_bothers_her_so_much,_that_she_find_a_new_line_of_work_and_so_not_have_to_worry_about_such_things._I_hope_you_do_not_mind_that_I_said_such_things.
str_npc6_personalityclash_speech_b She_obviously_does_not_care_for_Buddhism_or_justice,_but_I_deserve_better_than_to_be_the_object_of_some_witch's_superstition._I_just_thought_you_should_know.
str_npc7_personalityclash_speech_b I_do_not_care_for_how_he_stares_at_me_around_the_campfire_after_a_meal,_as_he_picks_his_teeth._I_believe_he_is_itching_for_a_fight._He_is_base_and_ignorant._I_do_not_care_to_fight_alongside_with_such_people.
str_npc8_personalityclash_speech_b {s11},_that_font_of_impudence,_overheard_me,_and_called_me_ignorant,_and_a_barbarian,_and_other_words_I_do_not_care_to_repeat._It_was_only_out_of_respect_for_you_that_I_refrained_from_cutting_his_throat_then_and_there._I_thought_it_only_fit_that_I_should_warn_you.
str_npc9_personalityclash_speech_b If_she_persists,_I_shall_tell_her_that_she_is_a_base_harlot,_and_if_it_comes_to_blows_I_will_not_apologize._That_is_all,_{sir/madam}.
str_npc10_personalityclash_speech_b He's_just_a_simple_brigand,_as_far_as_I_can_tell._Shinto_Muso-ryu,_my_ass._Genuine_samurai_are_bad_enough,_but_those_who_pretend_to_be_are_bloody_intolerable._Anyway,_I_might_have_said_something_a_bit_sharp_to_him_a_minute_ago._He_seemed_to_take_offense,_anyway._I_just_thought_you_should_know.
str_npc11_personalityclash_speech_b Sutra_this,_Buddha_that._Can't_she_just_shut_up?_I_don't_like_being_around_her_and_I_don't_think_she_should_be_with_us._That's_all._Sorry_for_troubling_you.
str_npc12_personalityclash_speech_b But_when_I_tried_to_treat_him,_he_recoiled_and_struck_me,_and_accused_me_of_sorcery._{Brother/Sister},_I_am_deeply_tired_of_attending_to_the_complaints_of_such_an_ungrateful_and_ignorant_lot.
str_npc13_personalityclash_speech_b Virtue_is_all_very_good,_but_it_is_not_the_only_goal_worth_pursuing_in_life._Personally,_I_never_trust_any_woman_who_has_not_at_least_once_woken_up_drunk_in_a_ditch,_or_been_beaten_by_the_slipper_of_her_lover.
str_npc14_personalityclash_speech_b That_foreigner_{s11}_saw_fit_to_admonish_me_for_this._I_will_not_have_my_methods_questioned_in_front_of_the_men,_and_I_will_not_serve_any_commander_who_tolerates_such_insubordination_in_his_company._Thank_you_for_allowing_me_to_speak_my_peace.
str_npc15_personalityclash_speech_b What's_more,_I_suspect_he's_treacherous._I_challenged_him_to_a_strength_and_he_proceeded_to_knock_the_wind_out_of_me_with_the_grip_of_his_sword_well_before_we_were_to_start._He_has_no_honor._A_wise_captain_would_not_allow_him_in_his_service.
str_npc16_personalityclash_speech_b His_sad_tales_are_too_much_for_me_and_the_whining_about_honor_and_loyalty_churns_my_stomach._He's_obsessive_about_the_Bushido_code,_as_if_it_were_a_real_thing_to_be_revered_instead_of_just_an_abstract_ideal_formulated_by_a_bored_bureaucrat_putting_on_airs._He_was_flustered_after_I_told_him_this_and_he_challenged_me_to_a_duel._I_would_have_gladly_killed_him_where_he_stood,_but_I_knew_you_wouldn't_like_it,_so_I_just_beat_him_up_a_little_to_shut_him_up._But_if_he_pulls_that_crap_on_me_again,_i'll_have_his_head.
str_npc17_personalityclash_speech_b Now,_I_would_never_lift_a_hand_against_her,_no_matter_how_many_times_I_have_been_tempted_to_do_so_already,_but_this_state_of_affairs_is_untenable._You_ought_to_correct_her_behavior_or_throw_her_out_of_the_party.
str_npc18_personalityclash_speech_b I_thought_I_could_bear_with_it_at_first,_but_I'm_at_my_wit's_end._If_he_keeps_this_up,_I_might_snap_and_challenge_him_to_a_duel--not_that_he_would_accept._Which_means_I_would_be_forced_to_cut_him_down_on_the_spot!
str_npc19_personalityclash_speech_b What's_that_supposed_to_mean?_We're_killing_them,_how_much_more_disrespectful_can_we_get_than_that?
str_npc20_personalityclash_speech_b He_keeps_trying_to_goad_me_into_arguments_about_our_respective_countries,_but_I_don't_care!_I_just..._I_don't_care._All_of_that_is_for_court_eunuchs_and_noblemen_to_think_about._And_last_I_remember,_China_and_Korea_were_ALLIES_for_heaven's_sake!
str_npc21_personalityclash_speech_b Susmaryosep!_Pirate_scum_reduced_me_to_this_existence!_Will_you_do_anything_about_her?
str_npc22_personalityclash_speech_b I_know_about_that_last_thing_because_I'm_not_ignorant_--_I've_encountered_Christians_before._What_is_his_problem_with_me?
str_npc1_personalityclash2_speech Captain._I_don't_much_care_for_that_{s11}.
str_npc2_personalityclash2_speech {Sir/Madame}._If_you_don't_mind,_I'd_prefer_not_to_be_deployed_anywhere_near_{s11},_after_what_she_said_to_me_during_that_last_battle.
str_npc3_personalityclash2_speech {Sir/Madame}._Since_I_have_joined_your_company,_I_have_tried_hard_to_learn_how_to_live_like_a_samurai,_and_how_to_honor_Bushido._If_I_occasionally_make_mistakes,_I_would_hope_to_be_forgiven.
str_npc4_personalityclash2_speech {Sir/Madame}._I_happened_to_exchange_a_few_words_with_{s11}_as_we_were_dividing_up_the_spoils_of_battle._Please_inform_him_that_when_he_speaks_to_me,_he_should_call_me_'sensei'_or_perhaps_'Muso-sensei,'_or_'Gonnosuke-sensei,'_but_certainly_not_just_'Gonnosuke.'
str_npc5_personalityclash2_speech Captain._{s11}_needs_to_have_her_tongue_cut_out.
str_npc6_personalityclash2_speech My_{lord/lady}._Did_you_see_{s11}_during_that_last_battle?_She_taunts_the_fallen_foe_as_they_lay_stricken_and_helpless_on_the_battlefield,_mocking_their_parentage,_their_foolishness_for_having_fought_us.
str_npc7_personalityclash2_speech My_{lord/lady}_--_I_have_been_searching_my_mind_trying_to_remember_where_I_have_seen_{s11},_the_one_who_calls_himself_a_shisho._As_I_watched_him_in_action_during_that_last_battle,_I_suddenly_remembered._He_is_a_good_fighter,_but_also_a_vicious_one.
str_npc8_personalityclash2_speech Captain._{s11}_is_a_most_insolent_pirate._I_have_tried_to_be_polite,_even_friendly,_only_to_have_him_rebuff_me.
str_npc9_personalityclash2_speech {Sir/My_lady},_I_hope_you_do_not_mind_me_telling_you_this,_but_in_my_opinion_{s11},_the_samurai_woman,_does_not_know_her_place._During_that_last_battle,_she_cut_in_front_of_me_to_engage_a_foe_whom_I_had_marked_for_my_own.
str_npc10_personalityclash2_speech {Brother/Sister}_--_a_question_for_you._Are_you_in_charge_of_this_company,_or_is_it_{s11}?
str_npc11_personalityclash2_speech Oy_--_boss,_I_don't_fancy_myself_a_sensitive_soul,_but_I_don't_particularly_like_how_{s11}_went_about_cutting_the_throats_of_the_enemy_wounded,_back_there.
str_npc12_personalityclash2_speech {Brother/Sister}._I_can_no_longer_abide_the_vile_baseness_of_the_samurai._{s11}_has_constantly_harassed_me_and_challenged_me_to_duels._I_always_decline,_but_he_is_unsatisfied_and_tries_to_goad_me_with_deadly_insults.
str_npc13_personalityclash2_speech Hello,_{playername}-dono!_{s11}_is_a_temperamental_one,_isn't_she?_During_that_last_battle,_I_was_merely_having_a_friendly_chat_with_our_foes_about_their_mothers_as_we_exchanged_swordblows,_and_it_caused_her_to_throw_a_fit!
str_npc14_personalityclash2_speech Sir._{s11}_is_incorrigibly_indisciplined._During_that_skirmish,_I_called_out_to_him_that_he_should_hold_ranks_with_the_rest_of_our_battle_array._He_called_back_to_me_that_I_should_'get_stuffed.'
str_npc15_personalityclash2_speech Captain_--_I_must_tell_you_that_I_question_{s11}'s_warrior_prowess._As_he_was_tending_to_our_wounded_after_that_last_battle,_I_saw_fit_to_ask_him_for_a_test_of_strength_--_nothing_deadly,_of_course._He_is_your_servant_after_all.
str_npc16_personalityclash2_speech Beg_your_pardon,_{sir/ma'am}._{s11}_might_have_been_a_very_good_fencing_instructor,_but_he's_not_got_the_stomach_to_be_a_real_warrior,_if_you_ask_me.
str_npc17_personalityclash2_speech {s11}_is_a_beautiful_lass,_but_you_would_be_wise_to_have_her_quietly_killed_and_her_corpse_left_in_a_ditch_by_the_road.
str_npc18_personalityclash2_speech Captain,_I_have_calmed_down_already,_but_I_almost_killed_{s11}._I_was_telling_the_others_about_the_time_I_reached_the_great_city_of_Baghdad,_and_he_interrupts_me_to_talk_about_how_it_will_one_day_be_reduced_to_rubble.
str_npc19_personalityclash2_speech {playername},_{s11}_gives_me_the_heebie-jeebies.
str_npc20_personalityclash2_speech Skipper,_{s11}_just_ain't_right._He_gives_me_bad_vibes._His_breath_smells_like_death_and_I've_noticed_him_mutilating_corpses_after_battles.
str_npc21_personalityclash2_speech Captain,_if_{s11}_does_not_stop_lecturing_me,_I_will_flay_her_skin.
str_npc22_personalityclash2_speech {Chief/Chieftess}!_{s11}_has_zero_camp_discipline!_I've_just_returned_from_yelling_at_him_for_not_properly_digging_a_ditch_for_his_waste._First_of_all,_it_was_not_downwind,_phew,_and_second_of_all_it_was_shallow.
str_npc1_personalityclash2_speech_b He_criticized_the_way_I_fought._My_form,_my_technique._I'm_an_experienced_veteran_of_battles._I_have_no_time_for_puffed_up_samurai_putting_on_airs._I_think_you_had_best_be_rid_of_him.
str_npc2_personalityclash2_speech_b The_enemy_was_bearing_down_on_us,_and_she_says,_'Step_aside,_Youmu-chan,_this_one's_mine.'_Next_time_I_will_step_aside,_and_let_her_take_a_yari_in_the_gut.
str_npc3_personalityclash2_speech_b Last_night,_in_camp,_{s11}_was_giving_a_drunken_lecture_about_Jesus_Christ,_a_figure_from_my_homeland's_religion,_and_it_turned_into_a_diatribe_about_my_Protestantism_and_the_'heathenism'_of_my_Japanese_brothers-in-arms._He_grabbed_the_scroll_of_Buddhist_sutras_given_to_me_last_week_and_ripped_it_apart_before_shoving_a_bible_in_my_face.
str_npc4_personalityclash2_speech_b I_am_of_illustrious_blood,_descended_from_the_Heike,_and_he_is_of_the_basest_birth._He_must_remember_his_place.
str_npc5_personalityclash2_speech_b When_the_loot_was_piled_up_after_the_last_battle,_I_found_among_the_enemy's_baggage_a_very_decent_cooking_pot._Often_I_had_wished_to_find_such_a_pot,_so_I_could_boil_some_of_the_stews_that_my_people_use_to_warm_their_bellies_during_the_winter_months._But_{s11}_grabs_the_pot,_and_tells_me_that_I_will_not_be_allowed_to_'taint'_it_with_foreign_food,_and_that_it_should_properly_belong_to_her._I_yielded_the_pot_to_her,_but_I_will_not_tolerate_such_disrespect_in_the_future.
str_npc6_personalityclash2_speech_b My_{lord/lady}_--_such_hubris_will_not_be_overlooked_by_Heaven,_and_I_fear_we_shall_all_of_us_pay_the_price.
str_npc7_personalityclash2_speech_b Back_when_I_was_still_learning_swordsmanship_at_a_school,_we_would_sometimes_fight_with_a_rival_school_NOT_named_the_Shinto_Muso-ryu._Captain_--_I_would_not_trust_any_man_who_hides_his_origins,_and_particularly_would_not_trust_a_commoner_student_who_calls_himself_a_shisho_of_an_illustrious_school.
str_npc8_personalityclash2_speech_b As_we_were_cleaning_our_weapons_after_that_last_battle,_I_remarked_that_I_thought_him_an_honorable_man,_and_after_we_are_finished_with_these_wars,_I_would_happily_bring_him_back_into_the_loving_arms_of_holy_mother_church._I_thought_it_was_a_very_gracious_offer,_to_a_fellow_European_in_a_far-away_land,_far_from_the_rabble-rousing_of_schismatics_and_heretics_back_home._But_rather_than_thank_me,_he_simply_turned_his_back_without_a_word._It_was_only_out_of_respect_for_your_leadership_that_I_did_not_immediately_try_to_teach_him_some_manners.
str_npc9_personalityclash2_speech_b I_appreciate_that_she_is_willing_to_risk_her_life_in_battle,_but_that_alone_does_not_make_one_noble._She_is_not_of_true_noble_birth,_and_her_family's_wealth_comes_from_service_to_a_higher_lord._She_may_fight_with_us_as_an_auxiliary,_but_should_not_attempt_to_steal_glory_from_her_betters.
str_npc10_personalityclash2_speech_b In_that_last_battle_he_was_shouting_at_me:_'Go_forward,_go_back,_hold_the_line.'_When_I_told_him_to_mind_his_own_trimming_he_said_he'd_have_me_flogged._Captain,_that_man_is_looking_for_a_tanto_in_his_back,_begging_your_pardon.
str_npc11_personalityclash2_speech_b The_way_she_whistles_cheerfully_as_she_does_it_--_it_puts_a_chill_down_my_spine,_it_does._She_says_she's_pretending_they're_Mongol_barbarians,_but_they're_Japanese_like_me_--_us!
str_npc12_personalityclash2_speech_b {Brother/Sister},_if_that_man_knew_the_slightest_thing_about_my_order,_he_would_know_that_we_don't_fight_for_his_ideal_of_honor_and_glory_in_service._Or_even_of_his_reality,_opportunism_and_sociopathy._We_seek_to_gain_enlightenment._If_you_would_be_kind_enough_to_dismiss_him_from_this_company,_you_would_be_doing_all_of_us_a_great_service.
str_npc13_personalityclash2_speech_b When_all_the_dust_settled,_{s11}_turned_on_me_and_told_me_not_to_'tempt_the_wrath_of_the_heavens'_with_my_'hubris.'_I_responded_that_I_knew_her_late_husband_very_well_indeed._{s11}_turned_red_like_a_baboon's_ass_and_would_have_struck_me_had_I_not_artfully_dodged_out_of_her_away._Tell_her_to_lighten_up,_will_you?
str_npc14_personalityclash2_speech_b {Sir/Madame},_such_defiance_of_proper_authority_is_a_corrosive_influence_on_our_company,_and_I_shall_have_him_flogged_if_he_does_so_again.
str_npc15_personalityclash2_speech_b {s11}_responded_that_Bushido_was_'made-up.'_Captain,_no_true_warrior_would_have_such_disrespect._I_do_not_believe_you_should_employ_such_an_unreliable_hermit.
str_npc16_personalityclash2_speech_b After_our_last_scrap,_I_was_delivering_the_coup_de_grace_to_our_wounded_foes._He_gagged_and_muttered_that_I_was_an_'animal.'_I'll_do_the_same_to_him_in_his_sleep_if_he_doesn't_keep_a_civil_tongue_in_his_head.
str_npc17_personalityclash2_speech_b She_is_Chinese,_the_scourge_of_my_people._The_worst_kind_of_scourge_even--the_kind_my_people_don't_even_realize_are_a_scourge._Don't_trust_her_as_far_as_you_can_throw_her.
str_npc18_personalityclash2_speech_b First_of_all,_it_had_already_been_sacked_by_my_people_centuries_ago._Second_of_all,_he_seemed_to_take_glee_in_the_thought_of_it_happening_again._He's_a_sick_man_with_a_bloody_mind.
str_npc19_personalityclash2_speech_b I_dunno,_she_was_staring_at_that_last_enemy_corpse_for_way_too_long_with_an_eager_look_in_her_eyes._She_only_grabbed_his_coinpurse_in_the_end,_but_I_was_so_sure..._so_damn_sure...
str_npc20_personalityclash2_speech_b Sure,_we_ALL_do_it,_to_better_remove_loot,_but_there's_something_else_about_how_he_does_it..._After_our_latest_recruits_came_onboard,_he_taunted_them_about_the_mortality_rate_of_newcomers,_licked_his_lips,_and_kept_calling_them_'fresh_meat'_in_a_tone_I_didn't_like.
str_npc21_personalityclash2_speech_b She_has_got_a_stick_up_her_rear_about_all_sorts_of_tedious_minutiae,_like_proper_camp_layout_or_packing_order._If_she_does_not_take_it_easy_soon,_I_will_lose_my_patience_and_kaput_--_that's_one_less_member_of_our_company.
